Wall time,Step,Value
1669147826.9332128,307958,0.0
1669148249.9608436,526118,0.0
1669148645.8688445,729428,0.0
1669149396.3032076,1114988,0.0
1669150009.4203691,1431968,0.0
1669150090.7522137,1474898,0.0
1669150284.36338,1576958,0.0
1669150371.2620156,1621508,0.0
1669150402.6918533,1636628,0.0
1669150515.722781,1697648,0.0
1669150547.5994248,1712498,0.0
1669150754.3263679,1819418,0.0
1669150887.589554,1889888,0.0
1669151136.168348,2017598,0.0
1669151564.868235,2240888,0.0
1669151774.885055,2349698,0.0
1669152063.5783124,2500358,0.0
1669152305.3575976,2624558,0.0
1669152428.003696,2688548,0.0
1669152444.3550262,2696648,0.0
1669152555.0676365,2753888,0.0
1669152689.6716027,2822468,0.0
1669152791.873795,2876468,0.0
1669152989.5356953,2978528,0.0
1669153405.6073194,3193448,0.0
1669153512.2761135,3249608,0.0
1669153682.2221715,3337898,0.0
1669153745.4034224,3370838,0.0
1669153971.9706695,3486668,0.0
1669154181.3372555,3594398,0.0
1669154294.2455199,3653190,0.0
1669154883.6376433,3956381,0.0
1669155723.9289,4385794,0.0
1669156052.8832257,4552887,0.0
1669156060.7604456,4557477,0.0
1669156891.6969194,4982475,0.0
1669157266.0656488,5175143,0.0
1669157325.8404534,5204574,0.0
1669157417.4124029,5253060,0.44999998807907104
1669157482.3120534,5283872,0.0
1669158101.7835438,5599808,0.0
1669158719.5606017,5913851,0.1066666692495346
1669158964.168521,6039114,0.0
1669159753.579057,6443961,0.8666666746139526
1669159809.1654396,6473223,0.0
1669159963.128119,6550155,0.8433333039283752
1669160436.2946053,6791289,0.6666666865348816
1669160568.3051796,6859783,0.7066666483879089
1669160881.345964,7019053,0.8100000023841858
1669160917.6090555,7038805,0.6800000071525574
1669160933.8290594,7046976,0.54666668176651
1669160949.6720212,7054363,0.7166666388511658
1669160957.7246606,7058400,0.7566666603088379
1669161090.7425706,7125614,0.7766666412353516
1669161309.5693266,7236466,0.5899999737739563
1669161745.543266,7459692,0.7066666483879089
1669161757.4866755,7465126,0.7300000190734863
1669161938.8328168,7558159,0.800000011920929
1669162023.7647667,7600622,0.8766666650772095
