Wall time,Step,Value
1669207892.4210413,307931,0.0
1669208317.0857801,526091,0.0
1669208715.7471015,729401,0.0
1669209468.3865206,1114961,0.0
1669210089.5461376,1431764,0.0
1669210173.089929,1474694,0.0
1669210369.1347203,1576754,0.0
1669210457.0118206,1621304,0.0
1669210489.0651822,1636424,0.0
1669210605.53664,1697444,0.0
1669210638.2189453,1712294,0.0
1669210848.3737323,1819214,0.0
1669210984.1594887,1889684,0.0
1669211235.4414005,2017394,0.0
1669211706.037846,2240553,0.0
1669211918.8449478,2349363,0.0
1669212272.4986196,2500023,0.0
1669212513.3439577,2624223,0.0
1669212635.3220632,2688213,0.0
1669212651.151471,2696313,0.0
1669212761.9882686,2753553,0.0
1669212891.800032,2822133,0.0
1669213038.6924565,2876133,0.0
1669213288.661823,2978193,0.0
1669213754.5567727,3193113,0.0
1669213860.940391,3249273,0.0
1669214032.366148,3337563,0.0
1669214095.3326986,3370503,0.0
1669214321.784571,3486333,0.0
1669214529.6965604,3594063,0.0
1669214644.8936095,3652923,0.0
1669215231.0464406,3956133,0.0
1669216058.7573378,4386966,0.0
1669216381.486552,4555480,0.0
1669216389.3681607,4559898,0.0
1669217236.361726,4989638,0.0
1669217616.6456485,5184992,0.0
1669217676.7744906,5214692,0.0
1669217772.4828646,5263623,0.0
1669217832.3306756,5294796,0.0
1669218478.3889172,5623942,0.0
1669219171.673103,5978775,0.0
1669219454.890134,6124289,0.0
1669220534.4126067,6676439,0.0
1669220631.2840471,6724505,0.0
1669220891.5126624,6858516,0.0
1669221870.2043138,7355674,0.0
1669222170.0812523,7509024,0.1899999976158142
1669222850.341984,7853985,0.12333333492279053
1669222935.480923,7895386,0.18000000715255737
1669222967.3503656,7912876,0.0
1669222999.489672,7928570,0.7166666388511658
1669223015.3058062,7937480,0.8133333325386047
1669223180.39458,8021483,0.0
1669223272.5054843,8067267,0.0
1669223649.73767,8258898,0.3266666531562805
1669224267.9443336,8571559,0.8199999928474426
1669224283.8906448,8579844,0.33666667342185974
1669224521.0749743,8701394,0.6700000166893005
1669224625.311422,8753678,0.7433333396911621
1669224637.5188062,8760272,0.7599999904632568
1669224666.003698,8773911,0.8433333039283752
1669224851.8920825,8868743,0.8199999928474426
1669224888.238389,8886324,0.7733333110809326
1669224904.4622302,8896182,0.5866666436195374
1669224920.413929,8903007,0.6733333468437195
1669225024.6359947,8956653,0.7833333611488342
1669225036.3989995,8962416,0.699999988079071
1669225141.8004103,9016974,0.753333330154419
1669225210.784126,9051402,0.8066666722297668
1669225238.9034302,9065848,0.7933333516120911
1669225349.5472505,9121668,0.8533333539962769
1669225470.049619,9181792,0.8500000238418579
1669225482.3566766,9187666,0.5866666436195374
1669225531.418352,9211918,0.6499999761581421
1669225612.350425,9254732,0.5099999904632568
1669225689.9745283,9293365,0.8633333444595337
1669225706.1375754,9301717,0.6933333277702332
1669225763.5882196,9329769,0.7866666913032532
1669225861.406036,9379019,0.8600000143051147
1669226000.1144867,9449464,0.8700000047683716
1669226004.1614764,9451258,0.8966666460037231
1669226012.2873073,9455599,0.6933333277702332
1669226065.2389061,9481570,0.7900000214576721
1669226343.8886538,9620993,0.7666666507720947
1669226363.9272127,9631356,0.8233333230018616
1669226367.8957975,9632988,0.7099999785423279
1669226380.0775568,9639612,0.8233333230018616
1669226400.241981,9648302,0.8566666841506958
1669226441.2881165,9668804,0.7433333396911621
1669226518.113502,9708705,0.7933333516120911
1669226636.1978996,9767009,0.8700000047683716
1669226652.467302,9776050,0.0
1669226706.4909503,9802207,0.8066666722297668
1669226817.3046663,9857682,0.0
1669226972.5158265,9935614,0.7133333086967468
1669226976.5416908,9937749,0.8566666841506958
1669227004.7063284,9952389,0.8133333325386047
1669227020.5641944,9960213,0.7900000214576721
1669227098.964835,9998990,0.8933333158493042
1669227209.8832967,10053930,0.9333333373069763
1669227291.2930903,10096493,0.8966666460037231
1669227336.0259988,10117495,0.7266666889190674
1669227356.5048985,10129161,0.8566666841506958
1669227373.0654263,10136341,0.8033333420753479
1669227385.2607863,10143118,0.8799999952316284
1669227398.025159,10148357,0.8666666746139526
1669227426.9844062,10162389,0.8133333325386047
1669227480.1523697,10190528,0.8033333420753479
1669227529.016998,10214724,0.9200000166893005
1669227637.2006311,10267952,0.800000011920929
1669227732.161995,10315763,0.8633333444595337
1669227877.832086,10386903,0.8166666626930237
1669227894.2809205,10394606,0.8733333349227905
1669227947.8445666,10420967,0.0
1669228027.161463,10460836,0.8733333349227905
1669228221.2648795,10556759,0.8666666746139526
1669228267.9261563,10579635,0.9166666865348816
1669228351.1805665,10619663,0.8533333539962769
1669228397.0122943,10642927,0.7433333396911621
1669228426.0312834,10657083,0.9200000166893005
1669228438.6249945,10663381,0.44333332777023315
1669228446.881823,10667175,0.8866666555404663
1669228480.020251,10683942,0.7566666603088379
1669228517.8776,10701376,0.8299999833106995
1669228517.878763,10702152,0.6166666746139526
1669228630.2975478,10757952,0.8199999928474426
1669228638.715027,10761017,0.8799999952316284
1669228667.7649758,10775422,0.8433333039283752
1669228705.3658104,10794157,0.9200000166893005
1669228709.4825687,10795687,0.8366666436195374
1669228730.2768245,10806037,0.8299999833106995
1669228751.0799112,10816822,0.8333333134651184
1669228788.1566358,10834900,0.8700000047683716
1669228875.72768,10877002,0.8433333039283752
1669228896.1954846,10887311,0.8933333158493042
1669229155.2606153,11016441,0.9100000262260437
1669229271.2543905,11074902,0.9166666865348816
1669229341.3193057,11109507,0.9066666960716248
1669229349.6859622,11113133,0.8199999928474426
1669229478.6978176,11177309,0.8766666650772095
1669229560.9308078,11218340,0.8766666650772095
1669229573.3240786,11224324,0.6466666460037231
1669229585.9771037,11230180,0.8600000143051147
1669229655.3503199,11265934,0.9433333277702332
1669229671.3026214,11273249,0.846666693687439
1669229878.0799751,11376136,0.7933333516120911
1669229943.2481728,11408331,0.9266666769981384
1669230063.051411,11468183,0.8366666436195374
1669230095.6541417,11484050,0.9133333563804626
1669230205.943287,11538464,0.8933333158493042
1669230255.2259612,11563175,0.8100000023841858
1669230267.582413,11570816,0.8266666531562805
1669230271.7896159,11571538,0.8299999833106995
1669230288.3833373,11580679,0.8600000143051147
1669230308.6406622,11590920,0.8666666746139526
1669230391.0074675,11631864,0.8166666626930237
1669230449.0485234,11659463,0.8799999952316284
1669230469.5931106,11670853,0.8899999856948853
1669230544.8437905,11708331,0.8833333253860474
1669230569.7967432,11719849,0.8833333253860474
1669230581.9201732,11725200,0.9066666960716248
1669230632.1140172,11751016,0.9300000071525574
1669230682.1836078,11774137,0.9066666960716248
1669230747.7071292,11807421,0.9100000262260437
1669230747.7080364,11807892,0.8733333349227905
1669230789.066723,11827284,0.8999999761581421
1669230888.2944443,11877357,0.8533333539962769
1669231429.2507548,12143194,0.8366666436195374
1669231470.4458833,12164139,0.9399999976158142
1669231536.3958943,12196249,0.9433333277702332
1669231536.3962526,12196370,0.9466666579246521
1669231540.5650995,12199516,0.9300000071525574
1669231587.6232817,12220711,0.8933333158493042
1669231675.196206,12263695,0.8766666650772095
1669231705.2904685,12279507,0.9300000071525574
1669231713.6114588,12282428,0.8100000023841858
1669231717.7460294,12284301,0.9300000071525574
1669231763.8332684,12308217,0.8866666555404663
1669231906.2682142,12376840,0.8666666746139526
1669231910.4186916,12379689,0.8933333158493042
1669231922.7639215,12385808,0.8933333158493042
1669231964.1461277,12405876,0.8266666531562805
1669231984.989113,12415552,0.8533333539962769
1669232148.055999,12495063,0.8366666436195374
1669232156.567017,12499353,0.8266666531562805
1669232253.7720323,12547187,0.9233333468437195
1669232257.9939997,12549648,0.9333333373069763
1669232521.1340158,12677511,0.8700000047683716
1669232566.8159053,12700244,0.7866666913032532
1669232570.932867,12702714,0.903333306312561
1669232625.1530178,12729527,0.8299999833106995
1669232633.632313,12733099,0.7633333206176758
1669232658.4817889,12745550,0.0
1669232817.5056028,12822827,0.9466666579246521
1669232851.0720878,12839595,0.846666693687439
1669232863.6282618,12846934,0.8600000143051147
1669232889.0422826,12858736,0.8966666460037231
1669233003.8653607,12913161,0.8700000047683716
1669233112.8738663,12967362,0.8199999928474426
1669233178.9658904,12999160,0.7433333396911621
1669233191.5063071,13005276,0.8766666650772095
