Wall time,Step,Value
1669182217.60666,225728,0.0
1669182394.5940146,318368,0.0
1669182833.2843745,545704,0.0
1669183584.321473,933544,0.0
1669183603.9302382,943144,0.0
1669184283.0261302,1294984,0.0
1669184302.2685852,1306504,0.0
1669185601.0639927,1980268,0.0
1669185657.3222067,2009068,0.0
1669186656.6776092,2527101,0.0
1669186688.3062227,2542941,0.0
1669186752.3768778,2575101,0.0
1669186835.2808592,2619261,0.0
1669187186.79524,2799654,0.0
1669187214.2362432,2815974,0.0
1669187337.1551402,2878854,0.0
1669187388.658235,2905734,0.0
1669187597.5124643,3013670,0.0
1669187649.481653,3040047,0.0
1669188016.169915,3228172,0.0
1669188127.4188893,3285578,0.0
1669188255.7470653,3352484,0.0
1669188665.6696327,3564745,0.0
1669188693.680046,3578183,0.0
1669188860.1378937,3664095,0.0
1669189454.5645368,3973286,0.0
1669189695.1926413,4099263,0.0
1669189826.7221842,4166094,0.0
1669190251.6173365,4385611,0.0
1669190342.1997635,4433611,0.0
1669190378.3354197,4452299,0.0
1669190770.399262,4654058,0.0
1669190810.7179759,4673738,0.0
1669190885.5274801,4713718,0.0
1669190938.4142754,4740783,0.0
1669190962.8019502,4751823,0.0
1669190990.8135543,4767183,0.0
1669191018.9840143,4781583,0.0
1669191219.4151306,4882918,0.0
1669191456.4977114,5004184,0.0
1669191641.3115375,5099749,0.0
1669191986.9664757,5280678,0.0
1669192074.285035,5326132,0.0
1669192726.2969913,5660783,0.0
1669192916.9006913,5759849,0.0
1669192960.5896251,5783369,0.0
1669193218.9794612,5915132,0.0
1669193330.5931888,5973291,0.0
1669193725.6768472,6176149,0.0
1669194092.0281615,6364551,0.0
1669194171.6336474,6404445,0.0
1669194294.8849478,6467846,0.0
1669194554.1170077,6601374,0.0
1669194708.8716705,6681990,0.0
1669195330.596659,7000492,0.0
1669195517.2421477,7098276,0.0
1669195999.3377166,7345191,0.0
1669196790.0500476,7750735,0.0
1669197318.7840395,8021790,0.0
1669197334.6895413,8029739,0.0
1669197354.5085354,8039954,0.4975000023841858
1669198348.116963,8552093,0.53125
1669198356.00695,8555428,0.0
1669198363.7049618,8558986,0.0
1669198620.2423508,8690977,0.3531250059604645
1669198828.22931,8796371,0.8031250238418579
1669198848.2184858,8807761,0.0
1669199157.5019753,8965407,0.0
1669199236.0244677,9005717,0.0
1669199276.2085,9026210,0.6118749976158142
1669199364.3127131,9072445,0.0
1669199400.401315,9089254,0.42625001072883606
1669199452.4140866,9116432,0.46187499165534973
1669200154.0726442,9477081,0.0
1669200305.9307792,9554575,0.7637500166893005
1669200389.7202578,9597304,0.1393750011920929
1669200433.0977037,9620742,0.0
1669200579.4236488,9696857,0.5950000286102295
1669201134.3289595,9982897,0.0
1669201472.1363065,10156287,0.7074999809265137
1669201953.8967593,10404578,0.0
1669202500.3259706,10685949,0.4881249964237213
1669202660.6232443,10766713,0.8293750286102295
1669202755.9537706,10816154,0.6474999785423279
1669202788.3631153,10831916,0.6043750047683716
1669203027.1171348,10956784,0.0
1669203134.36863,11011941,0.0
1669203286.6550462,11088983,0.9006249904632568
1669203674.3686972,11288923,0.6362500190734863
1669204022.3988538,11468850,0.6737499833106995
1669204329.359964,11627180,0.8181250095367432
