Wall time,Step,Value
1668657855.4618948,276080,0.0
1668658077.4926202,390128,0.0
1668658124.5728707,413888,0.0
1668658748.1282325,740192,0.0
1668658885.3504055,811472,0.0
1668659020.8719056,884336,0.0
1668659332.6213763,1045904,0.0
1668659776.4183009,1277168,0.0
1668660448.1512766,1628121,0.0
1668660483.1256404,1645545,0.0
1668660769.786168,1796025,0.0
1668660926.9818978,1877820,0.0
1668661193.3313437,2015628,0.0
1668661638.2473207,2246892,0.0
1668661759.858521,2311836,0.0
1668661870.9168968,2368860,0.0
1668661922.6659613,2394204,0.0
1668662038.3561072,2454396,0.0
1668662089.5582979,2481324,0.0
1668663230.7974596,3075324,0.0
1668663294.5629163,3107004,0.0
1668664741.5193954,3859660,0.0
1668664757.3468294,3867580,0.0
1668664821.5099206,3900844,0.0
1668664950.812909,3965788,0.0
1668665178.0001671,4083004,0.0
1668665509.9282641,4252114,0.0
1668665537.8216238,4266370,0.0
1668665581.399123,4290130,0.0
1668665608.8056116,4304386,0.0
1668665764.936679,4384097,0.0
1668666730.9754434,4881633,0.0
1668666798.9769607,4916481,0.0
1668666921.4930542,4979841,0.0
1668667214.3364787,5131905,0.0
1668667289.8994656,5169921,0.0
1668667566.8631842,5314065,0.0
1668668222.9453728,5646705,0.0
1668668325.7011955,5700561,0.0
1668668374.005585,5725905,0.0
1668668494.4321156,5786097,0.0
1668668538.2571087,5808273,0.0
1668668546.3309324,5813025,0.0
1668669086.8435254,6090253,0.0
1668669290.1836379,6194225,0.0
1668669607.453317,6358820,0.0
1668669868.3496475,6493637,0.25795453786849976
1668669904.1768293,6511943,0.0
1668670077.5985813,6601715,0.0
1668670109.6951976,6618706,0.0
1668670212.201231,6671807,0.0
1668670494.9407508,6818113,0.0
1668671186.5165162,7172982,0.0
1668671961.7302964,7570532,0.0
1668672727.5074918,7965156,0.0
1668672858.3200152,8033027,0.0
1668673005.6104217,8108576,0.0
1668673045.6118953,8129168,0.0
1668673234.1664112,8225621,0.0
1668673334.7243164,8277663,0.0
1668673531.5085971,8380409,0.0
1668673809.1999648,8522117,0.0
1668674444.5275748,8847860,0.2965908944606781
1668674926.3449543,9095806,0.0
1668675022.1359808,9146171,0.12840908765792847
1668675062.567715,9166270,0.3801136314868927
1668675361.1460168,9320271,0.0
1668675408.5754588,9344543,0.0
1668675570.863163,9427231,0.0
1668675816.0446906,9552218,0.0
1668676075.5599122,9685382,0.0
1668676229.3535192,9766073,0.0
1668676392.6698039,9850747,0.0
1668676499.7831879,9905002,0.0
1668677078.9237134,10204930,0.35568180680274963
1668677540.2821581,10443892,0.0
1668677599.4986506,10475414,0.0
1668677881.757768,10619968,0.0
1668678085.0392902,10725094,0.33579546213150024
1668678298.0119917,10833720,0.0
1668678473.2603295,10923149,0.0
1668679042.4521303,11214834,0.0
1668679579.908131,11488330,0.0
1668679664.8468611,11531697,0.0
1668679888.76568,11645030,0.0
1668680180.239963,11795488,0.0
1668680431.5378852,11923522,0.0
1668680502.5697773,11962072,0.0
1668680613.953098,12018321,0.0
1668681194.7685316,12314995,0.0
1668681583.3469691,12513539,0.0
1668682080.4773247,12769264,0.0
1668682835.3594122,13154538,0.0
1668682851.6061883,13162972,0.7079545259475708
1668683035.020618,13257845,0.0
1668683145.059405,13315368,0.0
1668683247.0626888,13367504,0.0
1668683330.0314581,13411938,0.0
